MajorCommandID,MajorCommandCode,ContractingOfficeCode,Contracting.Agency.ID,MajorCommandName,MCC_StartFiscal_Year,MCC_EndFiscal_Year,ContractingOfficeName
ORG-2790,DLA TROOP SUPT C&T,NULL,97AS,DLA TROOP SUPT CLOTHING & TEXTILE,2005,2014,NULL
ORG-2791,DCSO,NULL,97AS,DLA CONTRACTING SERVICES OFFICE,2005,2014,NULL
ORG-2825,AFMC,NULL,5700,U.S. AIR FORCE MATERIAL COMMAND,1992,2014,NULL
ORG-2834,AFSPC,NULL,5700,U.S. AIR FORCE SPACE COMMAND,1993,2014,NULL
ORG-2835,ACC,NULL,5700,U.S. AIR FORCE AIR COMBAT COMMAND,2000,2014,NULL
ORG-2836,PACAF,NULL,5700,U.S. AIR FORCE PACIFIC AIR FORCES,2002,2014,NULL
ORG-2837,USAFE,NULL,5700,U.S. AIR FORCES IN EUROPE AND AIR FORCES IN AFRICA,1990,2014,NULL
ORG-2838,AFRC,NULL,5700,U.S. AIR FORCE RESERVE COMMAND,1997,2014,NULL
ORG-2839,USAFA,NULL,5700,UNITED STATES AIR FORCE ACADEMY,1998,2014,NULL
ORG-2840,11CONS,LA010,5700,11CONS,2002,2004,DOD/DEPARTMENT OF THE AIR FORCE
ORG-2841,AFOTEC,NULL,5700,U.S. AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,2003,2014,NULL
ORG-2842,AFSOC,NULL,5700,U.S. AIR FORCE SPECIAL OPERATIONS COMMAND,1996,2014,NULL
ORG-2843,AETC,NULL,5700,U.S. AIR FORCE AIR EDUCATION AND TRAINING COMMAND,1995,2014,NULL
ORG-2844,AMC (AIR FORCE),NULL,5700,U.S. AIR FORCE AIR MOBILITY COMMAND,1990,2014,NULL
ORG-2845,AFDW,NULL,5700,AIR FORCE DISTRICT OF WASHINGTON,2004,2014,NULL
ORG-2848,USARPAC,NULL,2100,U.S. ARMY PACIFIC COMMAND,1997,2002,NULL
ORG-2849,USARSO,NULL,2100,U.S. ARMY SOUTH,1997,2002,NULL
ORG-2850,WEST POINT,MA01,2100,WEST POINT,1997,1997,"SUPRTDT, USA MILITARY ACADEMY"
ORG-2852,OPTEC,TM01,2100,OPERATIONAL TEST & EVALUATION COMMAND,1997,1999,U.S. ARMY ATEC CONTRNG ACTIVITY
ORG-2854,TRADOC,NULL,2100,U.S. ARMY TRAINING & DOCTRINE COMMAND,1996,2002,NULL
ORG-2855,USACCE,NULL,2100,US ARMY CONTRACTING COMMAND EUROPE,1997,2002,NULL
ORG-2856,MDW,NULL,2100,MILITARY DISTRICT OF WASHINGTON,1996,2002,NULL
ORG-2858,MTMC,NULL,2100,MILITARY TRAFFIC MANAGEMENT COMMAND,1997,2003,NULL
ORG-2860,ARCENT,NULL,2100,U.S. ARMY CENTRAL COMMAND,1997,2002,NULL
ORG-2861,DSSW,NULL,2100,DISABILITY SERVICES OF THE SOUTHWEST,1996,2001,NULL
ORG-2862,EUSA,JB03,2100,THE EIGTH UNITED STATES ARMY,1997,2002,"HQ, EUSA, ASST COFS ACQ. MGT."
ORG-2863,FORSCOM,NULL,2100,U.S. ARMY FORCES COMMAND,1991,2002,NULL
ORG-2869,NGB,NULL,2100,NATIONAL GUARD BUREAU,1996,2014,NULL
ORG-2870,SDDC,W81GYE,2100,U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,2004,2008,W0QF HQ SURFACE DEPL&DISTR CMD
ORG-2871,SMDC,NULL,2100,SPACE AND MISSILE DEFENSE COMMAND,1997,2014,NULL
ORG-2872,USACE (MIL.),NULL,2100,U.S. Army Corps of Engineers,1990,2014,NULL
ORG-2873,USAMRMC,NULL,2100,U.S. ARMY MEDICAL RESEARCH AND MATERIEL COMMAND,1997,2005,NULL
ORG-2874,JCCIA,NULL,2100,JOINT CONTRACTING COMMAND IRAQ/AFGHANISTAN,2004,2010,NULL
ORG-2875,MEDCOM,NULL,2100,U.S. ARMY MEDICAL COMMAND,1996,2014,NULL
ORG-2876,ACA,NULL,2100,ARMY CONTRACTING AGENCY,2003,2008,NULL
ORG-2877,AMC (ARMY),NULL,2100,ARMY MATERIAL COMMAND,1990,2014,NULL
ORG-2878,ATEC,NULL,2100,U.S. ARMY TEST AND EVALUATION COMMAND,2000,2014,NULL
ORG-2879,DCCW,NULL,2100,DEFENSE CONTRACTING COMMAND WASHINGTON,2002,2005,NULL
ORG-2880,INSCOM,NULL,2100,U.S. ARMY INTELLIGENCE & SECURITY COMMAND,1996,2014,NULL
ORG-2882,USAMRAA,W81XWH,2100,U.S. ARMY MEDICAL RESEARCH ACQUISITION ACTIVITY,2006,2014,W4PZ USA MED RSCH ACQUIS ACT
ORG-2936,NAVAIR,NULL,1700,U.S. NAVY NAVAL AIR SYSTEMS COMMAND,1990,2014,NULL
ORG-2937,NAVSUP,NULL,1700,U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND,1990,2014,NULL
ORG-2939,MSC,NULL,1700,U.S. NAVY MILITARY SEALIFT COMMAND,1992,2014,NULL
ORG-2940,NAVFAC,NULL,1700,U.S. NAVY NAVAL FACILITIES ENGINEERING COMMAND,1990,2014,NULL
ORG-2941,NAVSEA,NULL,1700,U.S. NAVY NAVAL SEA SYSTEMS COMMAND,1990,2014,NULL
ORG-2942,SSP,NULL,1700,U.S. NAVY STRATEGIC SYSTEMS PROGRAMS,1990,2014,NULL
ORG-2943,USMC,NULL,1700,UNITED STATES MARINE CORPS,1990,2014,NULL
ORG-2944,SPAWAR,NULL,1700,U.S. NAVY SPACE AND NAVAL WARFARE SYSTEMS COMMAND,1990,2014,NULL
ORG-2945,ONR,NULL,1700,OFFICE OF NAVAL RESEARCH,1990,2014,NULL
ORG-2946,NISMC,NULL,1700,NAVAL INFORMATION SYSTEMS MANAGEMENT CENTER,1990,1998,DOD/DEPARTMENT OF THE NAVY
ORG-3960,PEO STRI,W900KK,2100,"U.S. ARMY PROGRAM EXECUTIVE OFFICE FOR SIMULATION, TRAINING, & INSTRUMENTATION",2007,2014,W6EC PEO STRI ORLANDO
ORG-4020,USASOA,W912JY,2100,US ARMY SERVICES AND OPERATIONS AGENCY,2005,2010,W313 ARMY VISUAL INFO CENTER
ORG-4383,AFGSC,NULL,5700,U.S. AIR FORCE GLOBAL STRIKE COMMAND,2011,2014,NULL
ORG-4404,AFISRA,NULL,5700,"U.S. AIR FORCE INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE AGENCY",2010,2014,NULL
ORG-4774,C-JTSCC,NULL,2100,U.S. ARMY CENTRAL COMMAND - JOINT THEATER SUPPORT CONTRACTING COMMAND,2011,2014,NULL
ORG-4793,DLIS EMALL,NULL,97AS,DLA LOGISTICS INFORMATION SERVICE,2013,2014,DLA LOGISTICS INFORMATION SERVICE
ORG-4894,AFICA,NULL,5700,AF INSTALLATION CONTRACTING AGENCY,2014,2014,NULL
ORG-4955,DCMA-AQP,NULL,9763,"DCMA, HQ, PROCUREMENT CENTER",2009,2014,NULL
Uncategorized,Uncategorized,NULL,NULL,Uncategorized,NULL,NULL,NULL
