Customer,SubCustomer,SubCustomer.sum,SubCustomer.detail,SubCustomer.platform,SubCustomer.FMS,SubCustomer.component,Subcustomer.Obsolete
Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,All other Customers,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,FALSE
Other Agencies,Justice,Justice,Justice,Justice,All other Customers,Justice,FALSE
Other Agencies,Labor,Labor,Labor,Labor,All other Customers,Labor,FALSE
Other Agencies,Library,Library,Library,Library,All other Customers,Library,FALSE
Other Agencies,MERIT SYSTEMS PROTECTION BOARD,MERIT SYSTEMS PROTECTION BOARD,MERIT SYSTEMS PROTECTION BOARD,MERIT SYSTEMS PROTECTION BOARD,All other Customers,MERIT SYSTEMS PROTECTION BOARD,FALSE
Other Agencies,MILLENIUM CHALLENGE CORPORATION,MILLENIUM CHALLENGE CORPORATION,MILLENIUM CHALLENGE CORPORATION,MILLENIUM CHALLENGE CORPORATION,All other Customers,MILLENIUM CHALLENGE CORPORATION,TRUE
Other Agencies,NATIONAL CAPITAL PLANNING COMMISSION,NATIONAL CAPITAL PLANNING COMMISSION,NATIONAL CAPITAL PLANNING COMMISSION,NATIONAL CAPITAL PLANNING COMMISSION,All other Customers,NATIONAL CAPITAL PLANNING COMMISSION,FALSE
Other Agencies,NATIONAL ENDOWMENT FOR THE ARTS,NATIONAL ENDOWMENT FOR THE ARTS,NATIONAL ENDOWMENT FOR THE ARTS,NATIONAL ENDOWMENT FOR THE ARTS,All other Customers,NATIONAL ENDOWMENT FOR THE ARTS,FALSE
NATIONAL ENDOWMENT FOR THE HUMANITIES,Uncategorized,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES,All other Customers,NATIONAL ENDOWMENT FOR THE HUMANITIES,FALSE
UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO,Uncategorized,UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO,UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO,UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO,All other Customers,UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO,FALSE
