"hts10","hts_description","USITC.Tier","PlatformPortfolio.USITC","PlatformPortfolio.Ordnance","PlatformPortfolio","PlatformPortfolio2","PlatformPortfolio3","ArmsDual","ClassificationJustification","Total","MinOfYear","MaxOfYear","Invalid","end_use","minyear","maxyear","mincid","maxcid","sitc","end_use_import","end_use_export","ag_code","sic","naics","hitech","flow","ATP"
"9306.30.4138","CARTRIDGES FOR RIVETING OR SIMILAR TOOLS OR FOR CAPTIVE-BOLT HUMANE KILLERS AND PARTS THEREOF","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,74300328,2007,2019,NA,"21190",2007,2019,2008-02-01,2019-03-01,"89124","21190","21190","1",NA,"332992","00","Both",NA
"9306.30.4140","EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,65807668,2007,2019,NA,"Mixed",2007,2019,2008-02-01,2019-03-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4150","EMPTY CARTRIDGE SHELLS, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,60092026,2007,2019,NA,"Mixed",2011,2019,2014-06-01,2019-03-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4160","CARTRIDGES NOT CONTAINING A PROJECTILE & NOT EMPTY SHELLS; BLANKS; SLUGS & PELLETS FOR GUNS USING GAS/SPRING OPERATED MECHANISM AS A PROPELLANT","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,186355052,2007,2019,NA,"Mixed",2007,2019,2008-02-01,2019-03-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.8000","PARTS OF CARTRIDGES, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,2134771003,1989,2019,NA,"Mixed",2002,2019,2003-02-01,2019-03-01,"89124","50010","50050","1",NA,"332992","09","Both","Both"
"9306.90.0020","GUIDED MISSLES","Systems and Ordnance","Ordnance and Missiles","Missiles","Ordnance and Missiles",NA,NA,"Arms",NA,23089903776,1989,2019,NA,"Mixed",1989,2019,1993-07-01,2019-03-01,"89129","50010","50050","1","3482","Mixed","Mixed","Both","Both"
"9306.90.0040","BOMBS, GRENADES, TORPEDOS, MINES, AND SIMILAR MUNITIONS OF WAR, AND OTHER AMMUNITION AND PROJECTILES","Systems and Ordnance","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,7062085027,1989,2019,NA,"Mixed",2009,2019,2010-04-01,2019-03-01,"89129","50010","50050","1",NA,"Mixed","Mixed","Both",NA
"9306.90.0041","NEW: Paintballs; Indent: 3","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,"41120",2012,2019,2015-06-01,2019-03-01,"89129","41120",NA,"1",NA,"332992","00","Import",NA
"9306.90.0050","NEW: Other; Indent: 3","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,"50010",2012,2019,2015-06-01,2019-03-01,"89129","50010",NA,"1",NA,"332993","09","Import","Import"
"9306.90.0060","PARTS FOR GUIDED MISSILES","Parts and Accessories","Ordnance and Missiles","Missiles","Ordnance and Missiles",NA,NA,"Arms",NA,22402578600,1989,2019,NA,"Mixed",1989,2019,1993-07-01,2019-03-01,"89129","50010","50050","1","3482","Mixed","Mixed","Both","Both"
"9306.90.0080","PARTS FOR BOMBS, GRENADES, TORPEDOS, MINES, AND SIMILAR MUNITIONS OF WAR","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,7967843868,1989,2019,NA,"Mixed",1989,2019,1993-07-01,2019-03-01,"89129","50010","50050","1","3482","Mixed","09","Both","Both"
"9307.00.0000","SWORDS, CUTLASSES, BAYONETS, LANCES AND SIMILAR ARMS AND PARTS THEREOF AND SCABBARDS AND SHEATHS THEREFOR","Systems and Ordnance","Other Products","Other Products","Other Products",NA,NA,"Arms",NA,79941211,1989,2019,NA,"Mixed",2019,2019,2019-03-01,2019-03-01,"89113","50010","50050","1",NA,"332215","00","Both",NA
"9803.10.0000","MILITARY WEARING APPAREL OF ALL TYPES AND MATERIALS, INCLUDING FOOTWEAR AND HEADWEAR","Parts and Accessories","Other Products","Other Products","Other Products",NA,NA,"Arms",NA,1352706875,1989,2019,NA,"50060",1989,2019,1994-07-01,2019-03-01,"93100",NA,"50060","1","Mixed","Mixed","00","Export",NA
"9803.20.0000","MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND","Other","Other Products","Other Products","Other Products",NA,NA,"Arms",NA,20165073000,1989,2019,NA,"50060",1989,2019,1994-07-01,2019-03-01,"93100",NA,"50060","1","3XXX","990000","00","Export",NA
"9808.00.3000","Articles for military departments: Materials certified to the Commissioner of Customs by the authorized procuring agencies to be emergency war material purchased abroad","Other","Other Products","Other Products","Other Products",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808.00.5000","Articles for the Nuclear Regulatory Commission or the Department of Energy: Materials certified by it to the Commissioner of Customs to be source materials the entry of which is necessary in the interest of the common defense and security",NA,"Parts and Accessories",NA,NA,NA,NA,"Arms","htsdata decription as ""materials… necessary in the interest of the common defense""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9902.16.3900","New alternators rated to produce voltage at 24 V and current at 500 A or more, designed to power military diesel engine components and supporting systems, such alternators each weighing less than 55 kg and measuring less than 300 mm in diameter (provided for in subheading 8511.50.00)","Parts and Accessories","Cross-Platform","Cross-Platform",NA,NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9903.89.0500","Articles the product of France, of Germany, of Spain or of the United Kingdom: [Compiler's note: Duties suspended except on certain goods entered from foreign trade zones.], New airplanes and other new aircraft, as defined in U.S. note 21(b) to this subchapter (other than military airplanes or other military aircraft), of an unladen weight exceeding 30,000 kg (described in statistical reporting numbers 8802.40.0040, 8802.40.0060 or 8802.40.0070)",NA,"Aerospace","Aerospace",NA,NA,NA,"Dual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
