ProductOrServiceCode,ProductOrServiceCodeText,PlatformPortfolio,ProductOrServiceCode1L,ProductOrServiceCode2L,ProductOrServiceCode2R,ProductOrServiceCode1L1R,Simple,DoDportfolioGroup,DoDportfolio,DoDportfolioCategory,DoDportfolioSubCategory,ProductServiceOrRnDarea,Level1_Code,Level1_Category,Level2_Code,Level2_Category
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",Ordnance and Missiles,1,10,55,15,Products,2.  Weapons & Ammunition,Weapons,"Launchers, Rocket and Pyrotechnic","Launchers, Rocket and Pyrotechnic",Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1070,"NETS AND BOOMS, ORDNANCE",Ordnance and Missiles,1,10,70,10,Products,2.  Weapons & Ammunition,Weapons,"Nets and Booms, Ordnance","Nets and Booms, Ordnance",Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1075,DEGAUSSING & MINE SWEEPING EQUIPMEN,Ordnance and Missiles,1,10,75,15,Products,2.  Weapons & Ammunition,Weapons,Degaussing & Mine Sweeping Equipment,Degaussing & Mine Sweeping Equipment,Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,Ordnance and Missiles,1,10,80,10,Products,2.  Weapons & Ammunition,Weapons,Camouflage and Deception Equipment,Camouflage and Deception Equipment,Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,Ordnance and Missiles,1,10,90,10,Products,2.  Weapons & Ammunition,Weapons,Wpns Assy Interchange Betwn 2/More,Wpns Assy Interchange Betwn 2/More,Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1095,MISCELLANEOUS WEAPONS,Ordnance and Missiles,1,10,95,15,Products,2.  Weapons & Ammunition,Weapons,Miscellaneous Weapons,Miscellaneous Weapons,Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1105,NUCLEAR BOMBS,Ordnance and Missiles,1,11,5,15,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Bombs,Nuclear Bombs,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1110,NUCLEAR PROJECTILES,Ordnance and Missiles,1,11,10,10,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Projectiles,Nuclear Projectiles,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1115,NUCLEAR WARHEADS & WARHEAD SECTIONS,Ordnance and Missiles,1,11,15,15,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Warheads & Warhead Sections,Nuclear Warheads & Warhead Sections,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1120,NUCLEAR DEPTH CHARGES,Ordnance and Missiles,1,11,20,10,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Depth Charges,Nuclear Depth Charges,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1125,NUCLEAR DEMOLITION CHARGES,Ordnance and Missiles,1,11,25,15,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Demolition Charges,Nuclear Demolition Charges,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1127,NUCLEAR ROCKETS,Ordnance and Missiles,1,11,27,17,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Rockets,Nuclear Rockets,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1130,"CONVERSION KITS, NUCLEAR ORDNANCE",Ordnance and Missiles,1,11,30,10,Products,2.  Weapons & Ammunition,Nuclear Ordnance,"Conversion Kits, Nuclear Ordnance","Conversion Kits, Nuclear Ordnance",Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1135,"FUZING & FIRING DEVICES, NUCLEAR OR",Ordnance and Missiles,1,11,35,15,Products,2.  Weapons & Ammunition,Nuclear Ordnance,"Fuzing & Firing Devices, Nuclear Or","Fuzing & Firing Devices, Nuclear Or",Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1140,NUCLEAR COMPONENTS,Ordnance and Missiles,1,11,40,10,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Nuclear Components,Nuclear Components,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL",Ordnance and Missiles,1,11,45,15,Products,2.  Weapons & Ammunition,Nuclear Ordnance,"Explosive & Pyrotechnic Comps, Nucl","Explosive & Pyrotechnic Comps, Nucl",Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ",Ordnance and Missiles,1,11,90,10,Products,2.  Weapons & Ammunition,Nuclear Ordnance,"Spec Test & Handling Eq, Nuclear Eq","Spec Test & Handling Eq, Nuclear Eq",Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1195,MISCELLANEOUS NUCLEAR ORDNANCE,Ordnance and Missiles,1,11,95,15,Products,2.  Weapons & Ammunition,Nuclear Ordnance,Miscellaneous Nuclear Ordnance,Miscellaneous Nuclear Ordnance,Launchers & Munitions,12,Weapons & Ammunition,12.5,Nuclear Ordnance
1210,FIRE CONTROL DIRECTORS,Ordnance and Missiles,1,12,10,10,Products,2.  Weapons & Ammunition,Fire Control,Fire Control Directors,Fire Control Directors,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1220,FIRE CONT COMPUTING SIGHTS & DEVICE,Ordnance and Missiles,1,12,20,10,Products,2.  Weapons & Ammunition,Fire Control,Fire Cont Computing Sights & Device,Fire Control Computing Sights & Device,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1230,"FIRE CONTROL SYSTEMS, COMPLETE",Ordnance and Missiles,1,12,30,10,Products,2.  Weapons & Ammunition,Fire Control,"Fire Control Systems, Complete","Fire Control Systems, Complete",Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1240,OPTICAL SIGHTING & RANGING EQUIPMEN,Ordnance and Missiles,1,12,40,10,Products,2.  Weapons & Ammunition,Fire Control,Optical Sighting & Ranging Equipment,Optical Sighting & Ranging Equipment,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1250,FIRE CONTROL STABILIZING MECHANISMS,Ordnance and Missiles,1,12,50,10,Products,2.  Weapons & Ammunition,Fire Control,Fire Control Stabilizing Mechanisms,Fire Control Stabilizing Mechanisms,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1260,FIRE CONT DESIGNATING-INDICATING EQ,Ordnance and Missiles,1,12,60,10,Products,2.  Weapons & Ammunition,Fire Control,Fire Control Designating-Indicating Eq,Fire Control Designating-Indicating Eq,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1265,FIRE CONT EQ EXCEPT AIRBORNE,Ordnance and Missiles,1,12,65,15,Products,2.  Weapons & Ammunition,Fire Control,Fire Conttol Eq Except Airborne,Fire Conttol Eq Except Airborne,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1270,AIRCRAFT GUNNERY FIRE CONT COMPS,Ordnance and Missiles,1,12,70,10,Products,2.  Weapons & Ammunition,Fire Control,Aircraft Gunnery Fire Control Comps,Aircraft Gunnery Fire Control Comps,Aircraft,12,Weapons & Ammunition,12.2,Fire Control
1280,AIRCRAFT BOMBING FIRE CONT COMPS,Ordnance and Missiles,1,12,80,10,Products,2.  Weapons & Ammunition,Fire Control,Aircraft Bombing Fire Control Comps,Aircraft Bombing Fire Control Comps,Aircraft,12,Weapons & Ammunition,12.2,Fire Control
1285,FIRE CONT RADAR EQ EXCEPT AIRBORNE,Ordnance and Missiles,1,12,85,15,Products,2.  Weapons & Ammunition,Fire Control,Fire Control Radar Eq Except Airborne,Fire Control Radar Eq Except Airborne,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1287,FIRE CONTROL SONAR EQUIPMENT,Ordnance and Missiles,1,12,87,17,Products,2.  Weapons & Ammunition,Fire Control,Fire Control Sonar Equipment,Fire Control Sonar Equipment,Ships,12,Weapons & Ammunition,12.2,Fire Control
1290,MISC FIRE CONT EQUIPMENT,Ordnance and Missiles,1,12,90,10,Products,2.  Weapons & Ammunition,Fire Control,Misc Fire Cont Equipment,Misc Fire Cont Equipment,Launchers & Munitions,12,Weapons & Ammunition,12.2,Fire Control
1305,"AMMUNITION, THROUGH 30 MM",Ordnance and Missiles,1,13,5,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,"Ammunition, through 30 mm","Ammunition, through 30 mm",Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1310,"AMMUNITION, OVER 30 MM UP TO 75 MM",Ordnance and Missiles,1,13,10,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,"Ammunition, over 30 mm up to 75 mm","Ammunition, over 30 mm up to 75 mm",Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1315,"AMMUNITION, 75 MM THROUGH 125 MM.",Ordnance and Missiles,1,13,15,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,"Ammunition, 75 mm through 125 mm.","Ammunition, 75 mm through 125 mm.",Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1320,"AMMUNITION, OVER 125 MM",Ordnance and Missiles,1,13,20,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,"Ammunition, over 125 mm","Ammunition, over 125 mm",Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1325,BOMBS,Ordnance and Missiles,1,13,25,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Bombs,Bombs,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1330,GRENADES,Ordnance and Missiles,1,13,30,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Grenades,Grenades,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS,Ordnance and Missiles,1,13,36,16,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Guided Msl Warhds-Explosive Comps,Guided Msl Warhds-Explosive Comps,Missiles & Space,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",Ordnance and Missiles,1,13,37,17,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Msl & Space Veh Explosive Propulsn,Msl & Space Veh Explosive Propulsn,Missiles & Space,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",Ordnance and Missiles,1,13,38,18,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Msl & Space Veh Inert Propulsion,Msl & Space Veh Inert Propulsion,Missiles & Space,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1340,ROCKETS & ROCKET AMMUNITION,Ordnance and Missiles,1,13,40,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Rockets & Rocket Ammunition,Rockets & Rocket Ammunition,Missiles & Space,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1345,LAND MINES,Ordnance and Missiles,1,13,45,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Land Mines,Land Mines,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1346,REMOTE MUNITIONS,Ordnance and Missiles,1,13,46,16,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Remote Munitions,Remote Munitions,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1350,"UNDERWATER MINE AND COMPONENTS, INERT",Ordnance and Missiles,1,13,50,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Underwater Mine Inert Components,Underwater Mine Inert Components,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1351,UNDERWATER MINE EXPLOSIVE COMPS,Ordnance and Missiles,1,13,51,11,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Underwater Mine Explosive Comps,Underwater Mine Explosive Comps,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1352,UNDERWATER MINE DISPOAL INERT DEVICES,Ordnance and Missiles,1,13,52,12,Products,2.  Weapons & Ammunition,Ammunition & Explosives,No Description,No Description,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1353,UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES,Ordnance and Missiles,1,13,53,13,Products,2.  Weapons & Ammunition,Ammunition & Explosives,No Description,No Description,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1355,TORPEDO INERT COMPONENTS,Ordnance and Missiles,1,13,55,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Torpedo Inert Components,Torpedo Inert Components,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1356,TORPEDO EXPLOSIVE COMPONENTS,Ordnance and Missiles,1,13,56,16,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Torpedo Explosive Components,Torpedo Explosive Components,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1360,DEPTH CHARGE INERT COMPONENTS,Ordnance and Missiles,1,13,60,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Depth Charge Inert Components,Depth Charge Inert Components,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1361,DEPTH CHARGE EXPLOSIVE COMPONENTS,Ordnance and Missiles,1,13,61,11,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Depth Charge Explosive Components,Depth Charge Explosive Components,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1365,MILITARY CHEMICAL AGENTS,Ordnance and Missiles,1,13,65,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Military Chemical Agents,Military Chemical Agents,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1367,"TACTICAL SETS, KITS, AND OUTFITS",Ordnance and Missiles,1,13,67,17,Products,2.  Weapons & Ammunition,Ammunition & Explosives,No Description,No Description,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1370,PYROTECHNICS,Ordnance and Missiles,1,13,70,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Pyrotechnics,Pyrotechnics,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1375,DEMOLITION MATERIALS,Ordnance and Missiles,1,13,75,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Demolition Materials,Demolition Materials,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1376,BULK EXPLOSIVES,Ordnance and Missiles,1,13,76,16,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Bulk Explosives,Bulk Explosives,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1377,CARTRIDGE & PROPELLANT DEVICES,Ordnance and Missiles,1,13,77,17,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Cartridge & Propellant Devices,Cartridge & Propellant Devices,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1385,SURFACE EXPLOSIVE ORD DISPOSAL TOOL,Ordnance and Missiles,1,13,85,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Surface Explosive Ord Disposal Tool,Surface Explosive Ord Disposal Tool,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1386,UNDERWATER EXPLOSIVE ORD DISPOSAL,Ordnance and Missiles,1,13,86,16,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Underwater Explosive Ord Disposal,Underwater Explosive Ord Disposal,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1390,FUZES AND PRIMERS,Ordnance and Missiles,1,13,90,10,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Fuzes And Primers,Fuzes And Primers,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1395,MISCELLANEOUS AMMUNITION,Ordnance and Missiles,1,13,95,15,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Miscellaneous Ammunition,Miscellaneous Ammunition,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1398,AMMUNITION HANDLING & SERVICING EQ,Ordnance and Missiles,1,13,98,18,Products,2.  Weapons & Ammunition,Ammunition & Explosives,Ammunition Handling & Servicing Eq,Ammunition Handling & Servicing Eq,Launchers & Munitions,12,Weapons & Ammunition,12.1,Ammunition & Explosives
1410,GUIDED MISSILES,Ordnance and Missiles,1,14,10,10,Products,2.  Weapons & Ammunition,Guided Missiles,Guided Missiles,Guided Missiles,Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1420,GUIDED MISSILE COMPONENTS,Ordnance and Missiles,1,14,20,10,Products,2.  Weapons & Ammunition,Guided Missiles,Guided Missile Components,Guided Missile Components,Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1425,"GUIDED MISSILE SYSTEMS, COMPLETE",Ordnance and Missiles,1,14,25,15,Products,2.  Weapons & Ammunition,Guided Missiles,"Guided Missile Systems, Complete","Guided Missile Systems, Complete",Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1427,GUIDED MISSILE SUBSYSTEMS,Ordnance and Missiles,1,14,27,17,Products,2.  Weapons & Ammunition,Guided Missiles,Guided Missile Subsystems,Guided Missile Subsystems,Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1430,GUIDED MISSILE REMOTE CONT SYSTEMS,Ordnance and Missiles,1,14,30,10,Products,2.  Weapons & Ammunition,Guided Missiles,Guided Missile Remote Cont Systems,Guided Missile Remote Cont Systems,Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1440,"LAUNCHERS, GUIDED MISSILE",Ordnance and Missiles,1,14,40,10,Products,2.  Weapons & Ammunition,Guided Missiles,"Launchers, Guided Missile",Guided Missile Launchers,Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1450,GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT,Ordnance and Missiles,1,14,50,10,Products,2.  Weapons & Ammunition,Guided Missiles,Guided Missile Handling Service Eq,Guided Missile Handling Service Eq,Missiles & Space,12,Weapons & Ammunition,12.3,Guided Missiles
1510,"AIRCRAFT, FIXED WING",Aircraft,1,15,10,10,Products,"1.  Aircraft, Ships/Submarines & Land Vehicles",Aircraft,"Aircraft, Fixed Wing","Aircraft, Fixed Wing",Aircraft,11,"Aircraft, Ships/Submarines & Land Vehicles",11.1,Aircraft
1520,"AIRCRAFT, ROTARY WING",Aircraft,1,15,20,10,Products,"1.  Aircraft, Ships/Submarines & Land Vehicles",Aircraft,"Aircraft, Rotary Wing","Aircraft, Rotary Wing",Aircraft,11,"Aircraft, Ships/Submarines & Land Vehicles",11.1,Aircraft
1540,GLIDERS,Aircraft,1,15,40,10,Products,"1.  Aircraft, Ships/Submarines & Land Vehicles",Aircraft,Gliders,Gliders,Aircraft,11,"Aircraft, Ships/Submarines & Land Vehicles",11.1,Aircraft
1550,DRONES,Aircraft,1,15,50,10,Products,4.  Sustainment S&E,Drones,Drones,Drones,Aircraft,14,Sustainment S&E,14.1,Drones
1555,Space Vehicles,Space Systems,1,15,55,15,Products,NULL,NULL,NULL,NULL,Aircraft,11,"Aircraft, Ships/Submarines & Land Vehicles",11.1,Aircraft
1560,AIRFRAME STRUCTURAL COMPONENTS,Aircraft,1,15,60,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft & Airframe Structural Components,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1610,AIRCRAFT PROPELLERS AND COMPONENTS,Aircraft,1,16,10,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",Aircraft,1,16,15,15,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1620,AIRCRAFT LANDING GEAR COMPONENTS,Aircraft,1,16,20,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS,Aircraft,1,16,30,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1640,AIRCRAFT CONTROL CABLE PRODUCTS,Aircraft,1,16,40,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1650,AIRCRAFT HYDRAULIC VACUUM DE-ICING,Aircraft,1,16,50,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1660,AIRCRAFT AIR CONDITION HEATING EQ,Aircraft,1,16,60,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1670,PARACHUTE RECOVER SYS & TIE DOWN EQ,Aircraft,1,16,70,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1675,Space Vehicle Component,Space Systems,1,16,75,15,Products,NULL,NULL,NULL,NULL,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1677,Space Vehicle Remote Control Systems,Space Systems,1,16,77,17,Products,NULL,NULL,NULL,NULL,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,Aircraft,1,16,80,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq",Aircraft Components & Accessories,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1710,AIRCRAFT LANDING EQUIPMENT,Aircraft,1,17,10,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq","Acft Launching, Landing and GHE",Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1720,AIRCRAFT LAUNCHING EQUIPMENT,Aircraft,1,17,20,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq","Acft Launching, Landing and GHE",Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1725,Space Vehicle Launchers,Space Systems,1,17,25,15,Products,NULL,NULL,NULL,NULL,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1730,AIRCRAFT GROUND SERVICING EQUIPMENT,Aircraft,1,17,30,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq","Acft Launching, Landing and GHE",Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1735,Space Vehicle Handling and Servicing Equipment,Space Systems,1,17,35,15,Products,NULL,NULL,NULL,NULL,Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1740,AIRFIELD SPECIAL TRUCKS & TRAILERS,Aircraft,1,17,40,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq","Aircraft Engines, Components & Spt Eq","Acft Launching, Landing and GHE",Aircraft,14,Sustainment S&E,14.2,"Engines, Components & Spt Eq"
1810,SPACE VEHICLES,Space Systems,1,18,10,10,Products,"1.  Aircraft, Ships/Submarines & Land Vehicles",Space,Space Vehicles,Space Vehicles,Missiles & Space,NULL,NULL,NULL,NULL
1820,SPACE VEHICLE COMPONENTS,Space Systems,1,18,20,10,Products,4.  Sustainment S&E,"Engines, Components & Spt Eq",Space Vehicles Components & Spt Eq,Space Vehicle Components,Missiles & Space,NULL,NULL,NULL,NULL
