typeofcontractpricing,0,2,265,47615,6875,6579,6012,0,0,0,0,0,0,3078,2372,2480,2399,2795,4034,4571,3757,7053,10521,6926,3934,4494,5564,5551,9165,11727,14974,0.0%,3.5%,9.4%,21.9%,2.8%,2.7%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.4%,0.3%,0.2%,0.1%,0.1%,0.1%,0.1%,0.2%,0.3%,0.2%,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.4%
priceevaluationpercentdifference,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,15,21,50,101,304,257,240,48,142,1169,479,833,2321,2052237,2118091,3395330,8704,0,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,82.4%,83.9%,77.7%,0.2%,0.0%
subcontractplan,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,30523,36234,48456,73111,1111453,2390353,3172977,2881434,3181848,1895429,2060019,1996257,1870377,1334621,1377456,3031390,3425511,2831446,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5.1%,5.6%,5.8%,6.2%,55.6%,81.9%,83.6%,70.1%,70.7%,54.3%,58.3%,58.7%,59.9%,53.6%,54.6%,69.4%,71.2%,67.0%
lettercontract,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,16926,19562,26711,35425,52751,63370,71562,105053,132527,146133,200963,262122,303017,298163,379203,3815024,4813273,4224293,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2.8%,3.0%,3.2%,3.0%,2.6%,2.2%,1.9%,2.6%,2.9%,4.2%,5.7%,7.7%,9.7%,12.0%,15.0%,87.3%,100.0%,100.0%
multiyearcontract,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,548,1241,1307,2637,3556,1787,2290,3651,24583,336339,990421,1173663,1154323,1012040,1068402,1329180,1419079,1300407,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.1%,0.2%,0.2%,0.2%,0.2%,0.1%,0.1%,0.1%,0.5%,9.6%,28.0%,34.5%,37.0%,40.6%,42.3%,30.4%,29.5%,30.8%
performancebasedservicecontract,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,171,162,242,276,137,41,172,308,310,544,558,382,226,183,77,11,0,0,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
majorprogramcode,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594601,641880,829958,1182315,1984677,2897184,3751561,4051533,4399563,3390971,3443387,3226333,2902482,2348617,2374869,4229014,4680676,4086070,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%,99.9%,99.4%,99.3%,98.9%,98.6%,97.7%,97.1%,97.4%,94.9%,92.9%,94.3%,94.1%,96.8%,97.2%,96.7%
contingencyhumanitarianpeacekeepingoperation,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594721,641984,830359,1182337,1991133,2911848,3779424,4086944,4472066,3442077,2757506,440849,177117,191305,177985,101555,79092,76631,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%,99.7%,99.8%,99.6%,99.5%,99.3%,98.6%,78.0%,13.0%,5.7%,7.7%,7.1%,2.3%,1.6%,1.8%
contractfinancing,0,2,307,48383,6875,6579,6012,0,0,0,0,0,1,315506,346881,410363,664428,1379988,2000079,2998545,2843771,3123169,2204899,2173377,1840421,1620343,1124429,1137797,1133009,1100654,1144520,0.0%,3.5%,10.9%,22.3%,2.8%,2.7%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.0%,54.0%,49.4%,56.1%,69.1%,68.5%,79.0%,69.2%,69.4%,63.1%,61.5%,54.1%,51.9%,45.1%,45.1%,25.9%,22.9%,27.1%
costorpricingdata,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,306582,337894,396775,646156,1350952,2688701,3584971,3181740,3479321,2512271,2428424,2133928,1772319,1273263,1242593,1422773,1456156,1360206,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,51.5%,52.6%,47.8%,54.6%,67.6%,92.1%,94.5%,77.5%,77.3%,71.9%,68.7%,62.8%,56.7%,51.1%,49.2%,32.6%,30.3%,32.2%
