"CSIScontractID","override_unmodified_ceiling","override_unmodified_base","override_change_order_growth","override_exercised_growth","CSIS_inspection"
24893408,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328702,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435855,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26374474,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893351,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893147,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328713,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892302,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892975,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893161,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893120,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435857,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893265,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893057,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893344,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26374478,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893111,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893618,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892513,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893616,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893324,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893144,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893166,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435843,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328721,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893289,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893214,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
60438759,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435856,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893298,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496656,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893284,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893648,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893419,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893236,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496661,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892303,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496318,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893375,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893423,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892309,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893604,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328685,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893267,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328705,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892260,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892439,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893657,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893134,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893124,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893219,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892341,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893389,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893339,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
25582254,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892242,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328707,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893178,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893158,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892518,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893368,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893006,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496666,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893174,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328682,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
