

====================================================
Starting ETL.Sp_FPDSdelta_5_FixCodeNameMismatch
Start Time: 2026-06-13 12:08:37
Total record to process: 1425010
====================================================
sam_exception









recipient_duns	recipient_uei	recipient_parent_duns	recipient_parent_uei	contract_transaction_unique_key



























productorservicecode	product_or_service_code_description	minofsignedyear	maxofsignedyear	minoflast_modified_year	maxoflast_modified_year	PlatformPortfolio	ProductServiceOrRnDarea	RnD_budgetActivity
AF15	R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AF15	EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG13	COAL (ADVANCED)	2001	2009	2004	2012	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AG13	ENERGY R&D SERVICES; ENERGY SUPPLY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AG14	R&D- ENERGY: COAL (ENGINEERING DEVELOPMENT)	2020	2020	2022	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AG14	COAL (ENGINEERING)	2001	2009	2004	2014	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AG14	ENERGY R&D SERVICES; ENERGY SUPPLY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AG15	COAL (OPERATIONAL)	2001	2007	2004	2015	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AG15	ENERGY R&D SERVICES; ENERGY SUPPLY; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG23	GAS (ADVANCED)	2001	2009	2001	2019	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AG23	ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AG25	GAS (OPERATIONAL)	2001	2009	2004	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AG25	ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG33	GEOTHERMAL (ADVANCED)	2006	2007	2019	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AG33	ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AG35	GEOTHERMAL (OPERATIONAL)	2005	2005	2006	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
